show_id,type,title,cast,release_year,duration.int,duration.type,rating
ns389,tv show,plastic cup boyz: laughing my mask off!,"joey wells, will 'spank' horton, na'im lynn",2021,1.0,seasons,3.5225409836065573
ns390,movie,the operative,"diane kruger, martin freeman, cas anvar, rotem keinan, yohanan herson",2019,117.0,min,3.494802494802495
ns391,tv show,the walking dead,"andrew lincoln, steven yeun, norman reedus, chandler riggs, melissa mcbride, lauren cohan, danai gurira, alanna masterson, sonequa martin-green, josh mcdermitt, christian serratos, seth gilliam, ross marquand, lennie james, emily kinney, jon bernthal",2019,10.0,seasons,3.5396995708154506
ns392,tv show,wynonna earp,"melanie scrofano, shamier anderson, tim rozon, dominique provost-chalkley, michael eklund, katherine barrell, greg lawson, natascha girgis",2020,4.0,seasons,3.475510204081633
ns393,movie,django unchained,"jamie foxx, christoph waltz, leonardo dicaprio, kerry washington, samuel l. jackson, walton goggins, dennis christopher, james remar, david steen, dana gourrier, nichole galicia, laura cayouette, ato essandoh, sammi rotibi, escalante lundy, don johnson",2012,165.0,min,3.537109375
ns394,movie,a second chance:  rivals!,"emily morris, stella shute, eva grados, india colombi, nina pearce, adam tuominen, carmel johnson, natasha wanganeen, elysia markou, alexander lloyd, amy handley",2021,91.0,min,3.4712153518123667
ns395,movie,african america,"phumelele mthembu, anthony goss, thami buti, makhosazana ndlovu, zandile lujabe, gontse ntshegang, roget ellis, bridget pike, boipelo nokukhanya tau, james raynolds, nji alain, bongani dlamin",2021,97.0,min,3.5787139689578713
ns396,movie,bankrolled,"aldo escalante, ricardo polanco, natalia téllez, fabrizio santini, seoju park, maría chacón, giuseppe gamba, sebastián zurita",2021,97.0,min,3.4473684210526314
ns397,movie,blood red sky,"peri baumeister, alexander scheer, kais setti, carl koch, gordon brown, roland møller, chidi ajufo, kai ivo baulitz, graham mctavish, dominic purcell",2021,123.0,min,3.6197033898305087
ns398,tv show,feels like ishq,"radhika madan, amol parashar, rohit saraf, kajol chugh, tanya maniktala, mihir ahuja, simran jehani, sanjeeta bhattacharya, saba azaad, skand thakur, zayn marie khan, neeraj madhav",2021,1.0,seasons,3.598936170212766
ns399,movie,kingdom: ashin of the north,"gianna jun, park byung-eun, kim si-a, kim roi-ha, koo kyo-hwan",2021,94.0,min,3.5245202558635396
ns400,tv show,masters of the universe: revelation,"mark hamill, lena headey, chris wood, sarah michelle gellar, liam cunningham, stephen root, diedrich bader, griffin newman, tiffany smith, henry rollins, alan oppenheimer, susan eisenberg, alicia silverstone, justin long, jason mewes, phil lamarr, tony todd, cree summer, kevin michael richardson, kevin conroy, harley quinn smith",2021,1.0,seasons,3.558762886597938
